Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS09_VerifyRemoveFunctionality,Edge Chromium 122,,,03-03-2024 18:10:31,03-03-2024 18:13:49,3m - 17.725s,PASSED
,,,,,,,
Test Cases/TC10_VerifyRemoveFunctionalityMoreThan4Product,Edge Chromium 122,,,03-03-2024 18:10:32,03-03-2024 18:11:58,1m - 26.371s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 18:10:32,03-03-2024 18:10:32,0.053s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 18:10:32,03-03-2024 18:10:32,0.008s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 18:10:32,03-03-2024 18:10:36,4.610s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 18:10:36,03-03-2024 18:10:38,1.297s,PASSED
maximizeWindow(),Edge Chromium 122,,,03-03-2024 18:10:38,03-03-2024 18:10:38,0.177s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 18:10:38,03-03-2024 18:10:39,1.449s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 122,,,03-03-2024 18:10:39,03-03-2024 18:10:40,0.621s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/username""), ""Pushp"")",Edge Chromium 122,,,03-03-2024 18:10:40,03-03-2024 18:10:41,0.730s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_JPetStore Demo/password""), ""iGDxf8hSRT4="")",Edge Chromium 122,,,03-03-2024 18:10:41,03-03-2024 18:10:41,0.446s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 122,,,03-03-2024 18:10:41,03-03-2024 18:10:43,1.323s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishImg""))",Edge Chromium 122,,,03-03-2024 18:10:43,03-03-2024 18:10:43,0.606s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FI-SW-02""))",Edge Chromium 122,,,03-03-2024 18:10:43,03-03-2024 18:10:44,0.597s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 18:10:44,03-03-2024 18:11:16,31.973s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/DogQuickLink""))",Edge Chromium 122,,,03-03-2024 18:11:16,03-03-2024 18:11:16,0.607s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_K9-RT-01""))",Edge Chromium 122,,,03-03-2024 18:11:16,03-03-2024 18:11:17,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart_1""))",Edge Chromium 122,,,03-03-2024 18:11:17,03-03-2024 18:11:17,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishQuickLink""))",Edge Chromium 122,,,03-03-2024 18:11:17,03-03-2024 18:11:18,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FI-FW-02""))",Edge Chromium 122,,,03-03-2024 18:11:18,03-03-2024 18:11:19,0.563s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart_1_2""))",Edge Chromium 122,,,03-03-2024 18:11:19,03-03-2024 18:11:19,0.571s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 18:11:19,03-03-2024 18:11:20,0.567s,PASSED
"click(findTestObject(""Object Repository/CatImg""))",Edge Chromium 122,,,03-03-2024 18:11:20,03-03-2024 18:11:20,0.653s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FL-DLH-02""))",Edge Chromium 122,,,03-03-2024 18:11:20,03-03-2024 18:11:21,0.534s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart_1_2_3""))",Edge Chromium 122,,,03-03-2024 18:11:21,03-03-2024 18:11:21,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Remove""))",Edge Chromium 122,,,03-03-2024 18:11:21,03-03-2024 18:11:22,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_password""))",Edge Chromium 122,,,03-03-2024 18:11:22,03-03-2024 18:11:55,33.360s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 18:11:55,03-03-2024 18:11:56,0.953s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img_Sign Out_img_cart""))",Edge Chromium 122,,,03-03-2024 18:11:56,03-03-2024 18:11:57,0.519s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 18:11:57,03-03-2024 18:11:58,1.128s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 122,,,03-03-2024 18:11:58,03-03-2024 18:11:58,0.004s,PASSED
,,,,,,,
Test Cases/TC11_VerifyRemoveFunctionalityWithoutLogin,Edge Chromium 122,,,03-03-2024 18:11:58,03-03-2024 18:13:49,1m - 51.172s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 18:11:58,03-03-2024 18:11:58,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 18:11:58,03-03-2024 18:11:58,0.001s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 18:11:58,03-03-2024 18:12:02,3.537s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 18:12:02,03-03-2024 18:12:03,1.477s,PASSED
maximizeWindow(),Edge Chromium 122,,,03-03-2024 18:12:03,03-03-2024 18:12:03,0.138s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 18:12:03,03-03-2024 18:12:05,1.362s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishImg""))",Edge Chromium 122,,,03-03-2024 18:12:05,03-03-2024 18:12:05,0.636s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_FI-SW-01""))",Edge Chromium 122,,,03-03-2024 18:12:05,03-03-2024 18:12:06,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 18:12:06,03-03-2024 18:12:38,31.884s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_password""))",Edge Chromium 122,,,03-03-2024 18:12:38,03-03-2024 18:13:11,33.264s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/DogQuickLink""))",Edge Chromium 122,,,03-03-2024 18:13:11,03-03-2024 18:13:12,0.652s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_K9-RT-01""))",Edge Chromium 122,,,03-03-2024 18:13:12,03-03-2024 18:13:12,0.629s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart_1""))",Edge Chromium 122,,,03-03-2024 18:13:12,03-03-2024 18:13:13,0.578s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Remove""))",Edge Chromium 122,,,03-03-2024 18:13:13,03-03-2024 18:13:13,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_password""))",Edge Chromium 122,,,03-03-2024 18:13:13,03-03-2024 18:13:47,33.610s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 18:13:47,03-03-2024 18:13:48,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img_Sign Out_img_cart""))",Edge Chromium 122,,,03-03-2024 18:13:48,03-03-2024 18:13:48,0.534s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 18:13:48,03-03-2024 18:13:49,1.088s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 122,,,03-03-2024 18:13:49,03-03-2024 18:13:49,0.002s,PASSED
